Sample,Location_ID,Sample_ID,Location,Salish_vs_West_Coast,Subsample,Historic_vs_Modern,d11B,,
Msi 18,USNM 92621,MS_i_USNM 92621_A,"Vancouver Island, Barkley Sound",West Coast,No,Historic,24.712087,,
Msi 54,USNM 36416,MS_i_USNM 36416,Bodega Head,West Coast,No,Historic,25.001574,,
Msi 36,USNM 92625,MS_i_USNM 92625_A,Cordell Bank,West Coast,No,Historic,24.973134,,
Msi 37,USNM 92625,MS_i_USNM 92625_B,Cordell Bank,West Coast,No,Historic,25.939010,,
Msi 38,USNM 92625,MS_i_USNM 92625_C,Cordell Bank,West Coast,No,Historic,25.271224,,
Msi 39,USNM 92625,MS_i_USNM 92625_D,Cordell Bank,West Coast,No,Historic,25.200713,,
Msi 40,USNM 92625,MS_i_USNM 92625_E,Cordell Bank,West Coast,No,Historic,24.976645,,
Msi 41,USNM 92625,MS_i_USNM 92625_F,Cordell Bank,West Coast,No,Historic,25.124480,,
Msi 42,USNM 92625,MS_i_USNM 92625_G,Cordell Bank,West Coast,No,Historic,24.671787,,
Msi 43,USNM 92625,MS_i_USNM 92625_H,Cordell Bank,West Coast,No,Historic,25.026350,,
Msi 2,USNM 19233,MS_i_USNM 19233_A,"Farallon Islands, North of Islands",West Coast,No,Historic,24.543446,,
Msi 3,USNM 19233,MS_i_USNM 19233_B,"Farallon Islands, North of Islands",West Coast,No,Historic,25.382047,,
Msi 32,USNM 92624,MS_i_USNM 92624_A,"Farallon Islands, North of Islands",West Coast,No,Historic,25.406606,,
Msi 33,USNM 92624,MS_i_USNM 92624_B,"Farallon Islands, North of Islands",West Coast,No,Historic,24.962321,,
Msi 34,USNM 92624,MS_i_USNM 92624_C,"Farallon Islands, North of Islands",West Coast,No,Historic,24.474806,,
Msi 35,USNM 92624,MS_i_USNM 92624_D,"Farallon Islands, North of Islands",West Coast,No,Historic,24.604821,,
Msi 24,USNM 92623,MS_i_USNM 92623_A,"Farallon Islands, North of Islands",West Coast,No,Historic,24.980000,,
Msi 25,USNM 92623,MS_i_USNM 92623_B,"Farallon Islands, North of Islands",West Coast,No,Historic,25.470000,,
Msi 26,USNM 92623,MS_i_USNM 92623_C,"Farallon Islands, North of Islands",West Coast,No,Historic,25.100000,,
Msi 27,USNM 92623,MS_i_USNM 92623_D,"Farallon Islands, North of Islands",West Coast,No,Historic,24.600000,,
Msi 28,USNM 92623,MS_i_USNM 92623_E,"Farallon Islands, North of Islands",West Coast,No,Historic,24.670000,,
Msi 29,USNM 92623,MS_i_USNM 92623_F,"Farallon Islands, North of Islands",West Coast,No,Historic,24.960000,,
Msi 30,USNM 92623,MS_i_USNM 92623_G,"Farallon Islands, North of Islands",West Coast,No,Historic,24.521980,,
Msi 31,USNM 92623,MS_i_USNM 92623_H,"Farallon Islands, North of Islands",West Coast,No,Historic,25.136926,,
Msi 5,USNM 78638,MS_i_USNM 78638_A,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,25.001534,,
Msi 6,USNM 78638,MS_i_USNM 78638_B,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,24.121443,,
Msi 7,USNM 78638,MS_i_USNM 78638_C,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,24.889736,,
Msi 8,USNM 78638,MS_i_USNM 78638_D,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,24.419713,,
Msi 9,USNM 78638,MS_i_USNM 78638_E,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,25.448919,,
Msi 10,USNM 78638,MS_i_USNM 78638_F,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,23.945388,,
Msi 11,USNM 78638,MS_i_USNM 78638_G,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,23.621730,,
Msi 12,USNM 78638,MS_i_USNM 78638_H,"San Francisco, Moss Beach, Lowest Tide Pools",West Coast,No,Historic,24.919924,,
Msi 13,USNM 78640,MS_i_USNM 78640_A,"Monterey Bay, Point Lobos",West Coast,No,Historic,25.494679,,
Msi 14,USNM 78640,MS_i_USNM 78640_B,"Monterey Bay, Point Lobos",West Coast,No,Historic,24.931598,,
Msi 15,USNM 78640,MS_i_USNM 78640_C,"Monterey Bay, Point Lobos",West Coast,No,Historic,25.888307,,
Msi 19,USNM 92622,MS_i_USNM 92622_A,"Channel Islands, San Miguel Island, North of",West Coast,No,Historic,26.356548,,
Msi 20,USNM 92622,MS_i_USNM 92622_B,"Channel Islands, San Miguel Island, North of",West Coast,No,Historic,26.160175,,
